season,winner,first_w,first_l,first_ot,not_w,not_l,not_ot,first_percent,not_percent,perc_diff
20142015,TOR,19,6,3,8,29,3,0.73,0.24,0.49
20132014,CHI,30,1,6,8,14,8,0.89,0.40,0.49
20072008,EDM,21,5,3,10,26,2,0.78,0.29,0.49
20142015,MIN,30,6,3,7,17,4,0.81,0.32,0.49
20082009,EDM,22,4,3,10,23,4,0.81,0.32,0.49
20072008,DET,36,5,2,7,13,4,0.86,0.38,0.49
20082009,ATL,20,8,3,6,27,3,0.69,0.21,0.49
20112012,L.A,23,4,6,7,20,6,0.79,0.30,0.48
20102011,N.J,22,7,3,8,25,1,0.73,0.25,0.48
20122013,PHI,18,6,2,5,16,1,0.73,0.25,0.48
20142015,CBJ,21,8,1,7,26,3,0.72,0.24,0.48
20132014,CAR,18,3,4,11,26,5,0.80,0.32,0.48
20072008,COL,24,4,3,11,22,3,0.82,0.35,0.48
20082009,N.J,32,3,2,12,17,1,0.89,0.42,0.48
20142015,PHI,19,3,6,9,24,7,0.79,0.31,0.47
20112012,NYR,31,2,3,11,15,4,0.90,0.43,0.47
20122013,STL,23,5,1,6,12,1,0.81,0.34,0.47
20092010,L.A,31,6,3,8,16,2,0.81,0.35,0.47
20102011,OTT,19,9,4,4,25,5,0.66,0.19,0.47
20132014,MIN,26,4,4,9,18,5,0.82,0.36,0.46
20122013,DAL,16,5,2,6,17,2,0.74,0.28,0.46
20072008,MTL,28,5,6,8,17,3,0.79,0.34,0.46
20132014,CBJ,28,8,5,7,18,1,0.74,0.29,0.46
20112012,NSH,27,3,3,12,18,4,0.86,0.41,0.45
20072008,VAN,25,6,4,7,18,6,0.77,0.32,0.45
20112012,NYI,21,7,6,7,23,3,0.71,0.26,0.45
20122013,NYI,17,3,3,7,14,4,0.80,0.36,0.44
20122013,MIN,18,4,1,8,15,2,0.80,0.36,0.44
20082009,OTT,22,9,6,5,21,4,0.68,0.23,0.44
20132014,PHI,24,5,4,10,20,3,0.79,0.35,0.44
20132014,S.J,32,2,5,12,15,2,0.88,0.45,0.44
20132014,PIT,31,3,1,13,15,3,0.90,0.47,0.43
20072008,PHI,24,6,5,9,20,3,0.76,0.33,0.43
20112012,VAN,36,7,3,6,11,5,0.82,0.39,0.43
20072008,BOS,26,6,4,9,18,3,0.78,0.35,0.43
20092010,NYI,19,7,5,8,25,4,0.69,0.27,0.42
20112012,FLA,19,2,7,12,21,5,0.80,0.38,0.42
20102011,FLA,20,8,7,7,23,2,0.67,0.25,0.42
20092010,BUF,26,4,4,10,16,5,0.82,0.40,0.42
20092010,OTT,24,5,4,12,21,1,0.79,0.37,0.42
20142015,BUF,16,13,3,3,29,3,0.55,0.13,0.42
20102011,EDM,16,8,3,7,29,5,0.65,0.23,0.42
20142015,L.A,22,3,7,10,18,6,0.80,0.38,0.41
20132014,CGY,18,7,3,9,26,4,0.70,0.28,0.41
20092010,MTL,24,7,1,11,22,5,0.77,0.36,0.41
20142015,PIT,30,5,5,8,13,5,0.81,0.40,0.41
20092010,T.B,17,4,6,10,23,6,0.74,0.33,0.41
20092010,TOR,14,5,4,9,28,8,0.70,0.29,0.41
20082009,CBJ,26,8,2,9,19,4,0.75,0.34,0.41
20102011,NSH,22,4,7,11,20,3,0.77,0.37,0.41
20102011,MTL,26,5,5,11,18,2,0.79,0.39,0.40
20072008,NYR,27,8,5,7,16,4,0.74,0.33,0.40
20072008,T.B,18,8,5,8,25,2,0.66,0.26,0.40
20072008,BUF,22,6,4,10,21,5,0.75,0.35,0.40
20112012,S.J,22,5,2,11,19,7,0.79,0.39,0.40
20092010,NSH,23,5,1,14,21,4,0.81,0.41,0.40
20092010,DAL,19,4,7,10,21,6,0.75,0.35,0.40
20092010,BOS,22,6,4,8,18,8,0.75,0.35,0.40
20102011,PHX,24,5,6,10,18,5,0.77,0.38,0.39
20082009,MIN,24,9,1,8,19,5,0.72,0.33,0.39
20102011,DET,26,3,6,13,17,2,0.83,0.44,0.39
20092010,MIN,20,6,2,12,23,4,0.75,0.36,0.39
20142015,MTL,27,2,3,15,15,4,0.89,0.50,0.39
20082009,DAL,20,6,3,11,22,5,0.74,0.36,0.39
20102011,CGY,25,6,2,11,18,7,0.79,0.40,0.39
20092010,EDM,15,10,3,6,29,4,0.59,0.21,0.38
20072008,CAR,19,5,1,16,25,3,0.78,0.40,0.38
20122013,CGY,15,9,1,4,16,3,0.62,0.24,0.38
20112012,WSH,21,6,4,12,22,2,0.74,0.36,0.38
20142015,NSH,23,1,4,19,18,3,0.89,0.51,0.38
20092010,CGY,27,9,5,7,15,3,0.72,0.34,0.38
20092010,ATL,18,6,5,10,23,5,0.71,0.33,0.38
20132014,TOR,25,6,4,11,18,4,0.77,0.39,0.38
20142015,NYR,32,5,3,10,12,4,0.84,0.46,0.38
20122013,COL,9,4,3,7,21,4,0.66,0.28,0.38
20082009,DET,33,4,4,10,11,4,0.85,0.48,0.37
20102011,TOR,16,4,6,13,25,4,0.73,0.36,0.37
20132014,FLA,16,8,3,9,27,4,0.65,0.28,0.37
20112012,CBJ,16,11,4,6,27,3,0.58,0.21,0.37
20132014,L.A,29,8,4,9,15,2,0.76,0.38,0.37
20142015,ANA,29,4,6,13,16,1,0.82,0.45,0.37
20082009,PHI,26,5,6,10,15,4,0.78,0.41,0.37
20122013,OTT,18,5,2,7,12,4,0.76,0.39,0.37
20072008,STL,21,8,7,8,19,3,0.68,0.32,0.36
20112012,DAL,25,7,3,12,19,2,0.76,0.39,0.36
20072008,FLA,20,8,6,10,23,2,0.68,0.31,0.36
20082009,BUF,25,9,4,9,18,3,0.71,0.35,0.36
20082009,NYI,17,11,1,6,26,7,0.60,0.24,0.36
20122013,VAN,21,6,5,5,9,2,0.73,0.38,0.36
20132014,BOS,33,5,1,12,12,4,0.86,0.50,0.36
20102011,COL,16,7,4,10,25,4,0.67,0.31,0.36
20112012,ANA,20,8,6,9,21,3,0.68,0.32,0.36
20122013,WPG,16,6,1,8,15,2,0.72,0.36,0.36
20132014,T.B,24,6,4,12,18,3,0.76,0.41,0.36
20142015,VAN,23,5,2,15,19,2,0.80,0.44,0.36
20132014,WSH,22,8,3,9,19,7,0.71,0.36,0.35
20102011,BOS,25,4,5,13,16,4,0.81,0.45,0.35
20072008,TOR,19,7,6,10,22,4,0.69,0.33,0.35
20112012,BUF,21,8,6,10,21,2,0.69,0.33,0.35
20142015,STL,29,5,2,13,14,3,0.83,0.48,0.35
20142015,N.J,20,9,8,8,20,2,0.65,0.30,0.35
20102011,S.J,25,5,3,14,17,3,0.80,0.46,0.35
20102011,CHI,27,8,4,10,16,3,0.74,0.40,0.35
20112012,COL,21,7,3,14,23,1,0.73,0.38,0.34
20142015,S.J,23,8,3,10,18,5,0.72,0.38,0.34
20072008,ATL,17,7,4,12,25,3,0.68,0.34,0.34
20072008,ANA,21,4,2,17,19,5,0.81,0.48,0.34
20112012,EDM,18,11,3,8,24,3,0.61,0.27,0.34
20092010,N.J,28,8,1,12,16,2,0.77,0.43,0.34
20102011,L.A,28,10,2,9,15,3,0.73,0.39,0.34
20082009,MTL,22,5,5,14,19,3,0.77,0.43,0.34
20082009,CHI,25,5,3,12,14,6,0.80,0.47,0.33
20082009,VAN,24,7,6,10,16,3,0.73,0.40,0.33
20132014,OTT,18,6,4,10,19,9,0.71,0.38,0.33
20112012,CAR,17,7,10,8,20,5,0.65,0.32,0.33
20112012,T.B,21,9,3,10,20,4,0.68,0.35,0.33
20102011,STL,22,10,4,8,18,5,0.67,0.34,0.33
20112012,PHI,23,4,5,15,17,2,0.80,0.47,0.33
20072008,CGY,24,7,3,11,16,6,0.75,0.42,0.33
20102011,PHI,30,6,3,12,13,3,0.81,0.48,0.33
20072008,WSH,22,9,2,10,19,6,0.70,0.37,0.33
20142015,WPG,25,8,7,8,14,5,0.71,0.39,0.32
20092010,CHI,34,7,4,10,11,1,0.80,0.48,0.32
20092010,NYR,18,7,3,12,22,6,0.70,0.38,0.32
20122013,CAR,11,6,2,8,19,2,0.63,0.31,0.32
20082009,STL,17,6,4,13,22,4,0.70,0.38,0.32
20142015,FLA,16,4,5,13,19,9,0.74,0.43,0.31
20082009,T.B,15,9,7,7,23,7,0.60,0.28,0.31
20122013,EDM,12,6,6,7,16,1,0.63,0.31,0.31
20142015,DAL,21,9,6,9,18,4,0.67,0.35,0.31
20122013,BOS,19,4,3,9,10,3,0.79,0.48,0.31
20142015,CHI,27,7,2,12,14,4,0.78,0.47,0.31
20142015,T.B,28,6,4,13,14,2,0.79,0.48,0.31
20082009,WSH,29,7,2,13,14,4,0.79,0.48,0.31
20072008,CHI,23,12,3,8,17,3,0.64,0.34,0.31
20102011,NYR,23,10,2,12,20,2,0.69,0.38,0.30
20092010,FLA,17,8,8,10,21,2,0.64,0.33,0.30
20122013,MTL,21,5,3,8,9,2,0.78,0.47,0.30
20092010,CAR,22,14,2,6,17,5,0.61,0.30,0.30
20142015,BOS,23,7,4,11,15,6,0.74,0.44,0.30
20102011,PIT,25,6,3,14,15,5,0.78,0.49,0.29
20082009,S.J,30,3,4,13,9,6,0.86,0.57,0.29
20112012,WPG,22,10,3,10,18,5,0.67,0.38,0.29
20132014,PHX,24,11,4,7,14,7,0.67,0.38,0.29
20122013,ANA,18,2,4,12,10,2,0.83,0.54,0.29
20082009,NYR,21,7,4,13,18,4,0.72,0.43,0.29
20092010,DET,19,5,6,13,17,6,0.73,0.44,0.29
20072008,L.A,14,9,3,12,28,2,0.60,0.31,0.29
20132014,WPG,18,8,4,12,21,5,0.67,0.38,0.29
20122013,CHI,26,2,1,10,5,4,0.91,0.63,0.28
20112012,CGY,21,9,5,9,16,7,0.67,0.39,0.28
20072008,N.J,24,7,3,14,16,3,0.75,0.47,0.28
20072008,PIT,23,6,5,15,17,2,0.75,0.47,0.28
20112012,N.J,26,9,3,12,15,2,0.72,0.45,0.28
20102011,CBJ,19,8,3,12,18,6,0.68,0.42,0.27
20112012,DET,31,9,2,12,12,1,0.76,0.50,0.26
20072008,DAL,24,6,3,18,17,1,0.77,0.51,0.26
20082009,CGY,23,6,4,16,16,1,0.76,0.50,0.26
20092010,ANA,18,9,6,12,20,2,0.64,0.38,0.25
20142015,CGY,19,6,2,18,19,3,0.74,0.49,0.25
20132014,DET,20,8,7,10,15,6,0.67,0.42,0.25
20132014,EDM,13,10,4,10,26,5,0.56,0.30,0.25
20072008,S.J,29,11,4,8,10,4,0.70,0.45,0.25
20082009,TOR,16,8,8,11,20,5,0.63,0.38,0.25
20112012,PIT,25,7,3,15,14,2,0.76,0.52,0.24
20082009,FLA,20,8,2,14,17,7,0.70,0.46,0.24
20132014,DAL,21,9,4,11,15,7,0.68,0.44,0.24
20112012,MTL,16,11,6,10,21,4,0.58,0.34,0.23
20112012,CHI,19,7,2,17,18,5,0.71,0.49,0.23
20082009,PIT,23,10,4,13,16,3,0.68,0.45,0.22
20092010,PIT,24,8,4,15,15,1,0.72,0.50,0.22
20092010,S.J,24,3,3,19,10,6,0.85,0.63,0.22
20132014,ANA,26,4,5,18,12,2,0.81,0.59,0.22
20112012,STL,28,7,2,15,11,5,0.78,0.56,0.22
20132014,VAN,18,10,5,12,19,5,0.62,0.40,0.22
20112012,OTT,22,9,4,14,16,4,0.69,0.47,0.22
20102011,T.B,26,9,5,12,12,3,0.71,0.50,0.21
20142015,EDM,10,11,5,8,27,6,0.48,0.27,0.21
20092010,CBJ,17,12,5,9,18,6,0.57,0.36,0.21
20112012,TOR,19,12,2,11,18,5,0.61,0.40,0.21
20102011,BUF,19,9,3,14,17,5,0.66,0.46,0.20
20142015,ARI,11,11,3,10,27,5,0.50,0.30,0.20
20122013,DET,16,7,2,8,9,6,0.68,0.48,0.20
20082009,CAR,20,9,3,16,18,3,0.67,0.47,0.20
20082009,PHX,16,12,1,12,22,5,0.57,0.37,0.20
20102011,WSH,17,4,6,20,16,4,0.74,0.55,0.19
20092010,COL,23,9,2,15,14,4,0.71,0.52,0.19
20122013,TOR,19,9,4,7,8,1,0.66,0.47,0.19
20142015,COL,18,10,2,12,16,9,0.63,0.45,0.19
20132014,BUF,9,11,5,10,29,3,0.46,0.27,0.19
20142015,DET,21,5,7,16,12,4,0.74,0.56,0.18
20122013,WSH,17,8,1,10,10,2,0.67,0.50,0.17
20102011,ATL,17,12,8,10,16,3,0.57,0.40,0.17
20122013,CBJ,13,6,2,11,11,5,0.67,0.50,0.17
20092010,STL,20,12,6,11,14,3,0.61,0.45,0.16
20132014,NYI,11,9,7,15,25,2,0.54,0.38,0.16
20092010,WSH,30,7,5,14,7,4,0.77,0.64,0.13
20142015,OTT,18,11,7,12,13,4,0.60,0.48,0.11
20082009,BOS,27,8,4,16,8,5,0.74,0.64,0.11
20112012,MIN,12,9,5,17,20,5,0.56,0.46,0.09
20142015,NYI,26,14,3,17,8,1,0.64,0.67,-0.03
